Edition	GLOBAL ID	Albania	Algeria	Angola	Argentina	Armenia	Australia	Austria	Azerbaijan	Bahrain	Bangladesh	Barbados	Belgium	Belize	Benin	Bhutan	Bolivia	Bosnia and Herzegovina	Botswana	Brazil	Brunei Darussalam	Bulgaria	Burkina Faso	Burundi	Cambodia	Cameroon	Canada	Cape Verde	Chad	Chile	China	Colombia	Costa Rica	Ivory Coast	Croatia	Cyprus	Czech Republic	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Estonia	Ethiopia	Finland	France	Gabon	Gambia, The	Georgia	Germany	Ghana	Greece	Guatemala	Guinea	Guyana	Haiti	Honduras	Hong Kong SAR	Hungary	Iceland	India	Indonesia	Iran, Islamic Rep.	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kazakhstan	Kenya	Korea, Rep.	Kuwait	Kyrgyz Republic	Lao PDR	Latvia	Lebanon	Lesotho	Liberia	Libya	Lithuania	Luxembourg	Macedonia, FYR	Madagascar	Malawi	Malaysia	Mali	Malta	Mauritania	Mauritius	Mexico	Moldova	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nepal	Netherlands	New Zealand	Nicaragua	Nigeria	Norway	Oman	Pakistan	Panama	Paraguay	Peru	Philippines	Poland	Portugal	Puerto Rico	Qatar	Romania	Russian Federation	Rwanda	Saudi Arabia	Senegal	Serbia	Seychelles	Sierra Leone	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sri Lanka	Suriname	Swaziland	Sweden	Switzerland	Syria	Taiwan, China	Tajikistan	Tanzania	Thailand	Timor-Leste	Trinidad and Tobago	Tunisia	Turkey	Uganda	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Venezuela	Vietnam	Yemen	Zambia	Zimbabwe	Average GCR	Latin America and the Caribbean	Emerging and Developing Asia	Middle East, North Africa, and Pakistan	Sub-Saharan Africa	Commonwealth of Independent States	Emerging and Developing Europe	Advanced economies	Low income	Lower middle income	Upper middle income	High income: OECD	High income: nonOECD	ASEAN	Stage 1	Transition from 1 to 2	Stage 2	Transition from 2 to 3	Stage 3
2014-2015	EOSQ051	2,773562835	3,722643418	2,507418512	2,623298274	4,153577134	5,507707594	5,844382512	3,809204208	5,246784517	3,252700961	5,016668083	5,448596522			4,371725218	3,450808841		4,899796548	3,993565217		3,467995838	3,498355853	2,760594506	3,347754048	3,636015291	5,989036289	3,776377353	2,509911373	4,981843975	4,487518541	3,862385193	4,579936912	3,533179583	3,792982222	4,328822861	4,003388073	5,697943871	3,825876223		3,556874263	3,602271184	5,182488566	3,399298362	6,386615641	5,542741569	3,928495186	4,214279775	3,85863008	5,639135605	4,283045645	3,906652499	3,845694204	2,624779191	3,761634217	2,327755164	3,692041198	6,066421597	3,734785941	5,286418663	4,064674676	4,286574399	3,856629881	5,874925099	4,807805346	4,010162702	4,377205007	5,944106702	5,090128687	4,111422562	4,207582098	4,213207635	4,432645407	3,173277055	3,754060307	4,591456177	3,527888069	3,596259482		2,966849305	4,248245813	6,110303558	4,551004887	3,064294128	3,873917758	5,295983329	3,401171256	5,042795207	2,527228878	5,108463167	3,964459516	3,162585535	3,627235902	4,103543998	4,853923209	3,35675024	2,69342763	5,071833891	3,337347246	5,844518322	5,957198578	3,097577985	3,39571231	5,991892847	5,242460371	3,276647579	4,501481511	3,215857977	3,537320902	4,279916831	4,324229712	4,846032019	5,920419847	5,996184294	3,95519936	3,33376613	5,264319	5,120874349	3,946258672	3,145725502	4,151588234	3,401268898	6,237431886	3,842290383	4,17939544	5,599779824	4,322056185	4,303409034	3,253631914	4,294803237	5,69206209	6,236161461		5,729465508	3,852631569	3,547821869	4,092553922	2,798435697	4,128073046	3,995767125	4,561779333	3,401666554	2,697711578	5,459670553	6,218950642	5,349302886	4,899285482	1,521975698	3,605274229	3,082839952	4,61407699	2,370451613	4,233090613	3,442425909	3,623446587	4,232708227	3,5658696	3,572533983	3,554921287		3,071169962	3,588228215	3,663967462	5,263921064	4,689736202	3,483949411	3,263954044	3,491226237	3,604338645	4,356069876	5,333110636
2014-2015	EOSQ052	2,89622142	2,869190372	2,257914631	2,424609474	3,458404569	5,494076563	5,509293816	3,518034263	4,650791031	2,528265762	4,473406153	5,28740622			3,954872424	3,305407256		4,150977993	3,250404428		3,020990299	3,421976084	2,62947894	2,794208204	3,39744603	5,650157824	3,163707425	2,509467681	3,921684469	3,952851982	3,18629732	4,027519961	3,145151212	3,611938618	4,349930948	3,924424304	5,278815454	3,192614357		2,947060842	3,538499387	4,944567757	3,146646155	6,193635766	5,604409273	2,765412397	4,07778385	3,046550134	5,408997798	4,085306345	3,857379368	3,064203245	2,221430603	3,271789613	2,160655726	3,525221046	5,80030027	3,686076756	4,768738416	3,718591201	4,120546878	2,686583117	5,598387889	4,571171637	3,689071077	3,753669706	5,952777042	4,570553651	3,651473069	3,692819079	3,705182115	3,462288753	2,634206061	3,608389304	3,999472696	2,236305853	3,499908289		1,777236081	3,834628309	6,079818037	4,029394819	2,865165211	3,130072366	5,199915852	2,95616685	4,52404417	2,199664568	4,237560295	3,469796387	2,833732395	2,703563687	3,652125107	3,730289762	2,736703104	2,733310781	4,326100284	2,928574574	5,703152064	5,962881832	3,080026326	2,68683796	5,572665314	4,873424573	2,853200298	4,373703088	2,53478802	2,807602071	3,708436559	3,747094412	4,570190444	5,896833158	5,964256714	3,354495836	3,024113981	4,62996	4,884260433	3,408575833	2,880088263	3,830040498	3,242621489	6,151738233	3,781794306	4,061152238	5,300020403	3,578597738	3,93974738	2,685032803	3,832250482	5,457374676	6,038993655		5,147921665	3,705263138	3,25217391	3,057317403	2,463337392	3,23462625	3,074489474	3,663242422	2,729187193	2,656230079	5,475347957	5,93733103	5,414093516	4,094583107	1,628626174	3,050503033	2,314462376	4,02430112	2,864656396	3,823648864	3,000190655	3,203672495	3,562906227	3,182877062	3,169778632	3,198024688	5,096299398	2,789857796	3,152922459	3,136112208	5,008558582	4,331893966	3,141403113	2,94008095	2,943044563	3,115825382	3,851756925	5,099086178
2014-2015	GCI.A.01.01.01	2,81444903	3,438159069	2,424250552	2,557068674	3,921852946	5,503163917	5,73268628	3,712147559	5,048120022	3,011222561	4,835580773	5,394866422			4,232774287	3,402341646		4,650190363	3,745844954		3,318993992	3,47289593	2,716889317	3,163238767	3,556492204	5,8760768	3,572154043	2,509763476	4,628457473	4,309296354	3,637022568	4,395797929	3,403836793	3,732634354	4,33585889	3,977066816	5,558234399	3,614788934		3,353603122	3,581013918	5,10318163	3,31508096	6,322289016	5,56329747	3,540800923	4,168781133	3,587936765	5,562423003	4,217132545	3,890228122	3,585197217	2,490329662	3,598352683	2,272055351	3,636434481	5,977714488	3,718549546	5,113858581	3,949313518	4,231231892	3,466614293	5,782746029	4,728927443	3,903132161	4,169359907	5,946996815	4,916937008	3,958106064	4,035994425	4,043865795	4,109193189	2,993586724	3,705503306	4,39412835	3,097360664	3,564142418		2,570311563	4,110373311	6,100141718	4,377134864	2,997917823	3,625969294	5,263960836	3,252836454	4,869878195	2,418040775	4,81816221	3,799571806	3,052967821	3,319345164	3,953071034	4,479378727	3,150067861	2,706722014	4,823256022	3,201089689	5,797396236	5,959092996	3,091727432	3,15942086	5,852150336	5,119448438	3,135498485	4,458888703	2,988834658	3,294081292	4,089423407	4,131851279	4,754084828	5,912557618	5,985541767	3,754964852	3,230548747	5,052866	5,042003044	3,767031059	3,057179756	4,044405656	3,348386428	6,208867335	3,822125024	4,13998104	5,499860017	4,074236703	4,182188483	3,064098877	4,140618985	5,613832952	6,170438859		5,53561756	3,803508759	3,449272549	3,747475082	2,686736262	3,830257447	3,688674575	4,262267029	3,177506767	2,683884412	5,464896355	6,125077438	5,370899763	4,631051357	1,557525856	3,420350497	2,826714093	4,417485034	2,535186541	4,09661003	3,295014158	3,483521889	4,009440893	3,438205421	3,4382822	3,435955754	5,250475584	2,97739924	3,443126296	3,48801571	5,178800237	4,570455457	3,369767311	3,155996346	3,308499013	3,441500891	4,187965559	5,255102484
2014-2015	EOSQ146	2,735430567	2,56373319	1,835062617	1,705397845	3,028422708	5,315259448	4,602466157	3,141557383	4,377695712	2,642995406	4,466125907	5,343845903			4,623990136	3,476807115		4,333783269	2,015339501		2,478786079	2,10555041	2,191130967	2,553623851	2,436806715	5,237388818	3,821648357	1,8454405	5,037378716	3,902364525	2,243041189	3,661718088	3,236535351	3,309792216	4,267585466	2,712186947	6,369384601	2,097190333		2,697505564	3,233064457	4,718040851	3,236766325	6,293739803	4,736448186	2,940969409	4,173183079	4,519908194	5,307377933	3,446685639	3,019881306	2,247335562	2,009654966	2,882167427	2,449200057	2,505747555	5,815006846	2,598381987	5,074721074	3,427157297	3,400887151	3,000941518	5,645615383	4,12013467	2,754598106	2,991828869	5,613036617	3,997374482	3,425191299	3,005212966	3,274587677	3,45543364	2,651698126	3,437891842	3,256175334	1,88747044	3,804287126		2,090920924	3,295522289	6,086474938	4,003823919	2,264229107	2,638189384	4,756993905	2,512756691	4,104378384	2,51698308	3,892030625	2,451975498	2,365077415	2,669214337	3,707437017	3,832376471	2,288100307	2,369489911	3,224790745	2,813774237	5,670595653	6,555205277	2,577492005	1,754764217	5,912374879	4,831228428	2,765852108	2,81071021	1,763261314	2,652734148	3,082606978	3,759687627	4,018083306	3,905248456	6,191384659	3,008689391	2,675985872	5,269024	4,788903254	3,231670873	2,711586448	3,688677637	2,705297088	6,0730431	2,160991593	3,075721394	2,752334643	2,828224197	2,994249656	2,89055994	3,411809123	5,532072924	5,862008203		4,380772929	3,747252703	2,81540272	2,620698335	3,180345342	2,528010973	3,460341294	3,207673678	2,036880724	2,351242134	5,992349722	5,632471422	4,612908123	5,160942482	1,315211993	3,154841352	1,833102061	3,304704638	2,600746294	3,519467252	2,606529647	3,037124957	3,546093915	2,78865078	3,100703982	2,901400935	4,719112664	2,511412571	2,935226095	2,720068824	4,738158443	4,131305934	2,81967037	2,66293267	2,834703573	2,786444711	3,548125207	4,739223681
2014-2015	EOSQ041	2,335062566	2,786525803	1,823266272	1,551059206	2,916627564	4,124879356	3,71362698	3,447478465	3,956912153	1,814118941	3,894315276	4,230990156			4,126648174	3,341491721		3,59308934	1,713577958		1,897786434	2,554127813	2,339885918	2,558479415	2,648366947	4,827551543	3,583958001	2,3746615	3,721933685	4,07004344	1,988523783	3,00641909	3,17536912	1,988890342	3,183173426	1,73041625	4,704062483	1,955494851		2,497825302	3,024738946	3,60560031	2,913776341	5,687719229	3,528873822	3,012959102	3,800411349	2,85643084	4,737826372	3,228251761	2,3349737	1,811888503	2,323951235	3,162288384	1,983162639	2,396005092	4,625497347	2,227097503	3,998524642	3,351032954	3,63845549	3,065409307	4,474809722	2,780296385	1,723017239	2,429392675	4,483748234	3,573445664	3,73426451	3,020169679	2,421070257	3,187423796	2,281638773	3,940319586	2,718850686	1,33978113	3,395509713		2,259197865	2,722520314	5,371207857	3,3148175	2,089998882	2,66471516	4,700295118	2,752901007	3,507169176	2,197431024	3,0521624	2,225312811	2,195956907	2,112595519	3,452299427	3,287906774	2,397713168	2,988286847	3,177631937	2,058485257	5,321994968	5,668893368	2,309434054	1,835826009	5,895260628	4,781656143	2,323605933	2,395322817	1,421839484	1,893630068	2,625846216	2,395904329	3,040766891	3,186443801	6,110122915	2,316593515	2,983382656	5,311347	5,149217608	3,083712847	2,132904696	3,449937741	2,64547186	6,166626478	2,073980532	1,884510958	2,579297716	2,160106106	2,692939678	1,980316754	3,25101045	5,306617755	5,323175638		3,939225852	3,75555563	2,883267798	1,927724956	2,952683435	2,009104503	3,115255958	3,142253438	2,458447134	2,424643315	6,046255422	4,513496794	3,394140197	4,504298716	1,408861568	3,380115716	2,416039153	2,983837807	1,890895516	3,142885602	2,245136503	2,878710044	3,417294821	2,714586133	2,95510874	2,327177505	3,899697921	2,48249292	2,746451978	2,451862335	3,844515367	3,722203198	2,86216926	2,618726192	2,737174868	2,475246708	3,093030008	3,940256807
2014-2015	BRIBEIDX	3,163361024	2,910027038	2,352939539	2,823268902	3,814590692	5,857780679	5,470629027	3,649638371	5,447439401	2,263696099	4,873707779	5,758563194			4,803154074	2,607522368		4,796407734	3,578373516		4,242929782	2,892797555	2,85133952	2,752670338	3,052713121	5,783986497	4,422516893	2,332987827	5,652630978	3,978837081	3,343882169	4,449672946	3,863305755	3,95003952	5,038262077	3,86987914	6,188044735	3,300495244		3,998758606	3,478978886	5,768003624	3,099423934	6,64069574	5,263105683	4,091700737	4,1429446	5,585694993	5,55898804	3,421732355	3,794117012	3,861272039	2,116791313	3,07930175	2,833367765	3,532089881	6,19996104	4,196949184	6,301997675	3,501399381	3,582616792	3,436231708	6,25385266	5,137967761	3,833373298	3,824551013	6,207141219	4,578807868	3,762515426	3,234476454	4,390478194	4,173847757	2,62393055	3,443010162	4,757658241	2,22750123	4,169468361		2,879229791	4,569743967	6,320950376	4,968730611	2,965353199	3,481969488	4,915584196	2,51545628	4,147193985	2,262036703	4,630215915	3,406575851	2,974015909	3,730177908	4,045330356	4,29232546	3,06361983	2,301806804	4,093861602	2,937379869	5,987538091	6,724228101	3,366327185	2,482298407	6,312142968	5,388554033	2,873139347	3,776502212	2,673179858	3,761349541	3,618667095	4,664209486	5,181092923	4,654197099	6,354888111	3,886027384	3,397699601	5,4705688	5,587184375	3,515996508	3,872779966	4,067983336	2,674392755	6,476501627	3,403938188	4,698312315	4,457399205	4,435936659	3,531590408	3,36496993	3,845333892	5,716952531	6,218649828		5,213423183	3,58218112	2,870151323	3,660534502	3,106979929	3,329288009	3,808477227	4,285539529	2,770919019	2,962331079	6,426274896	5,933599231	4,957250383	5,574701154	2,35289209	3,204349435	2,111609585	3,708282987	3,399241465	4,118916023	3,313796043	3,25485024	4,044490185	3,260429109	3,594733082	3,820470067	5,401566473	2,773063973	3,363908288	3,473551844	5,428581814	4,755112772	3,053248814	2,927003467	3,382101551	3,491600783	4,341179635	5,388727322
2014-2015	GCI.A.01.01.02	2,744618052	2,753428677	2,003756143	2,026575318	3,253213655	5,099306494	4,595574055	3,412891406	4,594015755	2,240270148	4,411382987	5,111133084			4,517930795	3,141940401		4,241093448	2,435763658		2,873167432	2,517491926	2,460785468	2,621591202	2,712628928	5,282975619	3,942707751	2,184363276	4,803981126	3,983748348	2,525149047	3,705936708	3,425070076	3,082907359	4,16300699	2,770827446	5,753830607	2,451060143		3,064696491	3,245594097	4,697214928	3,0833222	6,207384924	4,509475897	3,348543082	4,038846343	4,320678009	5,201397448	3,365556585	3,049657339	2,640165368	2,150132505	3,04125252	2,421910153	2,811280843	5,546821744	3,007476225	5,12508113	3,426529878	3,540653144	3,167527511	5,458092588	4,012799605	2,770329548	3,081924186	5,434642023	4,049876005	3,640657078	3,0866197	3,362045376	3,605568398	2,519089149	3,607073863	3,57756142	1,818250933	3,789755067		2,40978286	3,52926219	5,926211057	4,095790677	2,439860396	2,928291344	4,79095774	2,593704659	3,919580515	2,325483602	3,858136313	2,694621387	2,51168341	2,837329254	3,735022267	3,804202902	2,583144435	2,553194521	3,498761428	2,603213121	5,660042904	6,316108915	2,751084415	2,024296211	6,039926158	5,000479535	2,654199129	2,994178413	1,952760219	2,769237919	3,109040096	3,606600481	4,07998104	3,915296452	6,218798561	3,070436763	3,01902271	5,350313267	5,175101746	3,277126743	2,905757037	3,735532905	2,675053901	6,238723735	2,546303438	3,219514889	3,263010522	3,141422321	3,072926581	2,745282208	3,502717822	5,518547737	5,801277889		4,511140655	3,694996484	2,856273947	2,736319265	3,080002902	2,622134495	3,46135816	3,545155549	2,422082292	2,579405509	6,154960013	5,359855816	4,321432901	5,079980784	1,692321884	3,246435501	2,120250266	3,332275144	2,630294425	3,593756292	2,721820731	3,05689508	3,669292973	2,921222007	3,216848601	3,016349503	4,673459019	2,588989821	3,015195453	2,881827667	4,670418541	4,202873968	2,911696148	2,736220776	2,984659997	2,917764067	3,660778283	4,689402603
2014-2015	EOSQ144	2,479277131	3,461253583	2,105877498	2,29284509	2,91979074	5,887924419	5,174291651	3,160504742	4,411623168	2,229771282	5,270948723	5,670113062			4,81084422	3,293844938		4,874695806	3,553158413		2,329072031	2,112388114	1,627548068	2,269234991	2,82924051	6,152688102	4,15221279	2,184391194	5,21278802	3,986425932	2,841077308	5,039774776	3,226028405	3,155481512	4,464500121	3,867883948	6,51416972	2,486411501		4,005754508	3,613887002	5,668405767	2,879024398	6,569080257	4,968560506	2,852039414	3,839665245	3,840256021	5,884202038	4,36468002	3,659043011	2,994130782	2,031242142	3,424725547	2,139569447	2,828354298	6,324165535	4,039314802	5,511804651	4,210758142	3,862387289	3,386766732	6,27488326	5,77125752	3,538917412	4,535924142	6,162104651	4,460712018	3,438475039	4,129463048	3,505492051	4,862881684	2,516461762	3,87946364	4,005717063	2,057472139	4,078831816		3,038966218	3,646095511	5,996908541	3,524408954	2,170589955	3,999215162	4,869929683	3,069669006	4,609184903	2,33116273	5,057683694	3,197904551	1,953809183	2,908927017	3,368704694	3,51980067	2,476741214	2,602450407	4,674400846	3,327106964	6,089457047	6,749647181	2,251711004	3,071349359	6,344941647	5,106323209	3,818816861	2,707883475	1,648501111	2,470452454	3,553136751	4,108393914	4,490583126	4,52145463	5,974710593	3,462046069	2,904736537	4,884901	5,213537557	3,523558608	2,55525569	4,118475279	2,808883805	5,667993719	2,259499349	3,352825034	5,439293958	3,203031545	3,635127048	3,848362896	3,473968841	5,706442538	6,070247027		4,239756884	3,59375	3,203739155	3,802450619	3,310112959	4,599786756	3,556863853	3,071715253	2,98375939	2,016249534	5,609415994	6,201286623	5,101962412	5,61423922	1,11523713	3,402884331	2,278398166	3,713405638	2,504914055	3,895255526	3,079260743	3,333000663	3,946732922	3,190055219	2,92711484	2,978313797	5,171678526	2,627834085	3,201738118	3,181527835	5,215123743	4,524357707	3,137993079	2,886276129	3,142392751	3,102717638	4,014114915	5,209438033
2014-2015	EOSQ042	3,08020041	3,009629425	1,981709052	1,73577344	3,050241369	3,942248314	3,958604623	3,260953128	4,040482029	2,249703532	3,332983431	4,072826336			3,710482675	3,633796692		3,514886463	2,584327472		2,121978717	2,844621479	2,408633575	2,609299228	2,780762917	4,41547536	3,4130788	2,127925	3,981861033	4,101822203	2,587303868	3,470922388	3,248010089	2,454707213	3,179270626	2,588790418	4,64214111	2,188658646		3,735487638	2,942808354	4,099661836	2,823742153	5,348235827	3,89895571	3,149051221	3,869760602	3,440754288	4,670972865	3,027792309	2,582673512	2,56721693	2,003048476	2,772113247	2,545062286	2,78921103	4,332065312	2,392173342	3,740178807	3,432210883	3,85294199	3,081367207	4,503113493	2,944439014	2,093204992	2,755224943	5,128259906	3,766137774	3,289526169	3,032171546	2,911793343	2,912403564	2,329704175	3,685337315	3,053233576	1,737892986	3,659269016		2,328919469	3,185215926	4,701850166	3,566471397	2,720964575	2,684064436	4,523483851	2,742956023	3,044908549	2,274462911	3,035602392	2,679690952	2,25672011	2,298345734	3,46916488	3,484818415	2,528923009	2,27592212	2,874285638	2,788383084	5,130452711	5,521456232	2,601033399	2,290418622	5,104259478	4,152725021	2,626111954	2,797482519	1,984175515	2,651007283	3,132594958	3,126029417	3,267868852	2,91170429	5,581675414	2,545024214	2,820434832	4,500766	4,066166495	3,230103727	2,436390676	3,234517971	2,478997218	5,356686038	1,929198157	2,556470937	2,604084758	2,97967178	2,681194298	2,271433683	3,16012175	4,996657676	4,755808443		4,114610608	3,511363745	3,191445158	2,804082628	2,546301346	2,05628307	3,199368425	3,206697209	2,605362062	2,500069044	5,26570199	4,497000977	3,450528211	3,8851078	1,480316426	3,035346093	2,056931023	3,402649424	2,48040154	3,216678381	2,491751776	2,925144231	3,371781279	2,7544155	2,939974096	2,63200445	3,900702169	2,542646535	2,878683834	2,637939081	3,920667404	3,454302904	2,879889798	2,684709249	2,741561979	2,693409983	3,177416943	3,91918927
2014-2015	GCI.A.01.01.03	2,779738771	3,235441504	2,043793275	2,014309265	2,985016055	4,915086366	4,566448137	3,210728935	4,226052598	2,239737407	4,301966077	4,871469699			4,260663447	3,463820815		4,194791134	3,068742942		2,225525374	2,478504796	2,018090821	2,43926711	2,805001713	5,284081731	3,782645795	2,156158097	4,597324527	4,044124067	2,714190588	4,255348582	3,237019247	2,805094363	3,821885374	3,228337183	5,578155415	2,337535074		3,870621073	3,278347678	4,884033801	2,851383276	5,958658042	4,433758108	3,000545318	3,854712923	3,640505154	5,277587451	3,696236164	3,120858261	2,780673856	2,017145309	3,098419397	2,342315867	2,808782664	5,328115423	3,215744072	4,625991729	3,821484512	3,857664639	3,23406697	5,388998376	4,357848267	2,816061202	3,645574542	5,645182278	4,113424896	3,364000604	3,580817297	3,208642697	3,887642624	2,423082968	3,782400477	3,529475319	1,897682562	3,869050416		2,683942844	3,415655719	5,349379353	3,545440176	2,445777265	3,341639799	4,696706767	2,906312515	3,827046726	2,30281282	4,046643043	2,938797752	2,105264646	2,603636375	3,418934787	3,502309543	2,502832111	2,439186263	3,774343242	3,057745024	5,609954879	6,135551706	2,426372201	2,680883991	5,724600563	4,629524115	3,222464407	2,752682997	1,816338313	2,560729868	3,342865854	3,617211665	3,879225989	3,71657946	5,778193004	3,003535141	2,862585684	4,6928335	4,639852026	3,376831168	2,495823183	3,676496625	2,643940511	5,512339878	2,094348753	2,954647986	4,021689358	3,091351662	3,158160673	3,05989829	3,317045296	5,351550107	5,413027735		4,177183746	3,552556872	3,197592156	3,303266624	2,928207153	3,328034913	3,378116139	3,139206231	2,794560726	2,258159289	5,437558992	5,3491438	4,276245311	4,74967351	1,297776778	3,219115212	2,167664594	3,558027531	2,492657797	3,555966954	2,78550626	3,129072447	3,659257101	2,972235359	2,933544468	2,805159123	4,536190348	2,58524031	3,040210976	2,909733458	4,567895574	3,989330305	3,008941439	2,785492689	2,941977365	2,89806381	3,595765929	4,564313652
