GLOBAL ID	Series unindented	Description	Base period	Sources	Long description	Series type
GDP	GDP (US$ billions)*	Gross domestic product in billions of current US dollars	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources		Indicator
POP	Population (millions)*	Total population in millions	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources		Indicator
GDPPC	GDP per capita (US$)*	Gross domestic product per capita in current US dollars	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources		Indicator
SHRGDPWL	GDP (PPP) as share (%) of world total*	Gross domestic product based on purchasing power parity as a percentage of world GDP	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources		Indicator
EOSQ051	Property rights, 1-7 (best)	In your country, how strong is the protection of property rights, including financial assets? [1 = extremely weak; 7 = extremely strong]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].		Indicator
EOSQ052	Intellectual property protection, 1-7 (best)	In your country, how strong is the protection of intellectual property, including anti-counterfeiting measures? [1 = extremely weak; 7 = extremely strong]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].		Indicator
EOSQ146	Diversion of public funds, 1-7 (best)	In your country, how common is diversion of public funds to companies, individuals, or groups due to corruption? [1 = very commonly occurs; 7 = never occurs]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].		Indicator
EOSQ041	Public trust in politicians, 1-7 (best)	In your country, how would you rate the ethical standards of politicians? [1 = extremely low; 7 = extremely high]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].		Indicator
BRIBEIDX	Irregular payments and bribes, 1-7 (best)	Average score across the five components of the following Executive Opinion Survey question: In your country, how common is it for firms to make undocumented extra payments or bribes connected with (a) imports and exports; (b) public utilities; (c) annual tax payments; (d) awarding of public contracts and licenses; (e) obtaining favorable judicial decisions? In each case, the answer ranges from 1 [very common] to 7 [never occurs].	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].		Indicator
EOSQ144	Judicial independence, 1-7 (best)	In your country, to what extent is the judiciary independent from influences of members of government, citizens, or firms? [1 = heavily influenced; 7 = entirely independent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ042	Favoritism in decisions of government officials, 1-7 (best)	In your country, to what extent do government officials show favoritism to well-connected firms and individuals when deciding upon policies and contracts? [1 = always show favoritism; 7 = never show favoritism]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ043	Wastefulness of government spending, 1-7 (best)	In your country, how efficiently does the government spend public revenue? [1 = extremely inefficient; 7 = extremely efficient in providing goods and services]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ048	Burden of government regulation, 1-7 (best)	In your country, how burdensome is it for businesses to comply with governmental administrative requirements (e.g., permits, regulations, reporting)? [1 = extremely burdensome; 7 = not burdensome at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ040	Efficiency of legal framework in settling disputes, 1-7 (best)	In your country, how efficient is the legal framework for private businesses in settling disputes? [1 = extremely inefficient; 7 = extremely efficient]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ039	Efficiency of legal framework in challenging regs., 1-7 (best)	In your country, how easy is it for private businesses to challenge government actions and/or regulations through the legal system? [1 = extremely difficult; 7 = extremely easy]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ049	Transparency of government policymaking, 1-7 (best)	In your country, how easy is it for businesses to obtain information about changes in government policies and regulations affecting their activities? [1 = extremely difficult; 7 = extremely easy]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ033	Business costs of terrorism, 1-7 (best)	In your country, to what extent does the threat of terrorism impose costs on businesses? [1 = to a great extent; 7 = not at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ034	Business costs of crime and violence, 1-7 (best)	In your country, to what extent does the incidence of crime and violence impose costs on businesses? [1 = to a great extent; 7 = not at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
