id	code	notes	description	units	scale	source	countryNotes	
1	EOSQ052	unknown	Intellectual property protection comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma how strong is the protection of intellectual property comma including anti minus sign counterfeiting measures question mark opening curly bracket 1 equals sign extremely weak semicolon 7 equals sign extremely strong closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
2	SP period DYN period IMRT period IN	Infant mortality rate is the number of infants dying before reaching one year of age per 1 000 live births in a given year period 	Mortality rate infant opening round bracket per 1 000 live births closing round bracket 	unknown	unknown	Estimates Developed by the UN Inter minus sign agency Group for Child Mortality Estimation opening round bracket UNICEF WHO World Bank UN DESA Population Division closing round bracket at www period childmortality period org period Projected data are from the United Nations Population Division quotation mark s World Population Prospects semicolon and may in some cases not be consistent with data before the current year period 	unknown	
3	SL period EMP period TOTL period SP period ZS	Employment to population ratio is the proportion of a country quotation mark s population that is employed period Ages 15 and older are generally considered the working minus sign age population period 	Employment to population ratio 15 total opening round bracket percent sign closing round bracket opening round bracket modeled ILO estimate closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
4	TM period VAL period MRCH period RS period ZS	Merchandise imports by the reporting economy residuals are the total merchandise imports by the reporting economy from the rest of the world as reported in the IMF quotation mark s Direction of trade database less the sum of imports by the reporting economy from high minus sign low minus sign and middle minus sign income economies according to the World Bank classification of economies period Includes trade with unspecified partners or with economies not covered by World Bank classification period Data are as a percentage of total merchandise imports by the economy period 	Merchandise imports by the reporting economy residual opening round bracket percent sign of total merchandise imports closing round bracket 	unknown	unknown	World Bank staff estimates based data from International Monetary Fund quotation mark s Direction of Trade database period 	unknown	
5	SH period DYN period MORT	Under minus sign five mortality rate is the probability per 1 000 that a newborn baby will die before reaching age five if subject to age minus sign specific mortality rates of the specified year period 	Mortality rate under minus sign 5 opening round bracket per 1 000 live births closing round bracket 	unknown	unknown	Estimates Developed by the UN Inter minus sign agency Group for Child Mortality Estimation opening round bracket UNICEF WHO World Bank UN DESA Population Division closing round bracket at www period childmortality period org period Projected data are from the United Nations Population Division quotation mark s World Population Prospects semicolon and may in some cases not be consistent with data before the current year period 	unknown	
6	SM period EMI period TERT period ZS	Emigration rate of tertiary educated shows the stock of emigrants ages 25 and older residing in an OECD country other than that in which they were born with at least one year of tertiary education as a percentage of the population age 25 and older with tertiary education period 	Emigration rate of tertiary educated opening round bracket percent sign of total tertiary educated population closing round bracket 	unknown	unknown	Fr d ric Docquier B period Lindsay Lowell and Abdeslam Marfouk quotation mark s A Gendered Assessment of Highly Skilled Emigration quotation mark opening round bracket 2009 closing round bracket period quotation mark 	unknown	
7	DC period DAC period ESPL period CD	Net bilateral aid flows from DAC donors are the net disbursements of official development assistance opening round bracket ODA closing round bracket or official aid from the members of the Development Assistance Committee opening round bracket DAC closing round bracket period Net disbursements are gross disbursements of grants and loans minus repayments of principal on earlier loans period ODA consists of loans made on concessional terms opening round bracket with a grant element of at least 25 percent calculated at a rate of discount of 10 percent closing round bracket and grants made to promote economic development and welfare in countries and territories in the DAC list of ODA recipients period Official aid refers to aid flows from official donors to countries and territories in part II of the DAC list of recipients colon more advanced countries of Central and Eastern Europe the countries of the former Soviet Union and certain advanced developing countries and territories period Official aid is provided under terms and conditions similar to those for ODA period Part II of the DAC List was abolished in 2005 period The collection of data on official aid and other resource flows to Part II countries ended with 2004 data period DAC members are Australia Austria Belgium Canada Czech Republic Denmark Finland France Germany Greece Iceland Ireland Italy Japan Republic of Korea Luxembourg Netherlands New Zealand Norway Poland Portugal Slovak Republic Slovenia Spain Sweden Switzerland United Kingdom United States and European Union Institutions period Regional aggregates include data for economies not specified elsewhere period World and income group totals include aid not allocated by country or region period Data are in current U period S period dollars period 	Net bilateral aid flows from DAC donors Spain opening round bracket current US dollar sign closing round bracket 	unknown	unknown	Development Assistance Committee of the Organisation for Economic Co minus sign operation and Development Geographical Distribution of Financial Flows to Developing Countries Development Co minus sign operation Report and International Development Statistics database period Data are available online at colon www period oecd period org slash dac slash stats slash idsonline period 	unknown	
8	SE period PRM period GINT period FE period ZS	Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age expressed as a percentage of the population of the official primary entrance age period 	Gross intake ratio in first grade of primary education female opening round bracket percent sign of relevant age group closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
9	GCI period B period 05 period 01	unknown	A period Quantity of education	unknown	Aggregate 	World Economic Forum comma opening curly bracket i closing square bracket The Global Competitiveness Report 2013 minus sign 2014 opening curly bracket i closing square bracket 	unknown	
10	TM period VAL period AGRI period ZS period UN	Agricultural raw materials comprise SITC section 2 opening round bracket crude materials except fuels closing round bracket excluding divisions 22 27 opening round bracket crude fertilizers and minerals excluding coal petroleum and precious stones closing round bracket and 28 opening round bracket metalliferous ores and scrap closing round bracket period 	Agricultural raw materials imports opening round bracket percent sign of merchandise imports closing round bracket 	unknown	unknown	World Bank staff estimates from the Comtrade database maintained by the United Nations Statistics Division period 	unknown	
11	NE period GDI period STKB period KN	Inventories are stocks of goods held by firms to meet temporary or unexpected fluctuations in production or sales and work in progress period quotation mark Data are in constant local currency period quotation mark 	Changes in inventories opening round bracket constant LCU closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
12	DT period TDS period MLAT period CD	Public and publicly guaranteed multilateral loans include loans and credits from the World Bank regional development banks and other multilateral and intergovernmental agencies period Excluded are loans from funds administered by an international organization on behalf of a single donor government semicolon these are classified as loans from governments period Debt service payments are the sum of principal repayments and interest payments actually made in the year specified period Data are in current U period S period dollars period 	Multilateral debt service opening round bracket TDS current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
